ticker;asset_code;name;segment;market;category;isin;cfi;lot_size;currency;spec_code;institution_name;governance
003H11;003H;;CASH;EQUITY-CASH;FUNDS;;;;BRL;;;
0FEA11;0FEA;;CASH;EQUITY-CASH;FUNDS;;;;BRL;;;
2WAV3;2WAV;;CASH;EQUITY-CASH;SHARES;;;;BRL;;;
A1HR34;A1HR;;CASH;EQUITY-CASH;BDR;;;;BRL;;;
A1PA34;A1PA;;CASH;EQUITY-CASH;BDR;;;;BRL;;;
A6OP3;A6OP;;CASH;EQUITY-CASH;SHARES;;;;BRL;;;
AALR12;AALR;;CASH;EQUITY-CASH;SHARES;;;;BRL;;;
AALR13;AALR;;CASH;EQUITY-CASH;SHARES;;;;BRL;;;
AATH11;AATH;;CASH;EQUITY-CASH;FUNDS;;;;BRL;;;
ABCB3;ABCB;;CASH;EQUITY-CASH;SHARES;;;;BRL;;;
ADSH11;ADSH;;CASH;EQUITY-CASH;FUNDS;;;;BRL;;;
AESO3;AESO;;CASH;EQUITY-CASH;SHARES;;;;BRL;;;
AFCF11;AFCF;;CASH;EQUITY-CASH;FUNDS;;;;BRL;;;
AFCV12;AFCV;;CASH;EQUITY-CASH;FUNDS;;;;BRL;;;
AGBK11;AGBK;;CASH;EQUITY-CASH;UNIT;;;;BRL;;;
AGBK4;AGBK;;CASH;EQUITY-CASH;SHARES;;;;BRL;;;
AGPL11;AGPL;;CASH;EQUITY-CASH;ETF EQUITIES;;;;BRL;;;
AGRA4;AGRA;;CASH;EQUITY-CASH;SHARES;;;;BRL;;;
AMAZ11;AMAZ;;CASH;EQUITY-CASH;FUNDS;;;;BRL;;;
AMLG34;AMLG;;CASH;EQUITY-CASH;BDR;;;;BRL;;;
AMZG11;AMZG;;CASH;EQUITY-CASH;UNIT;;;;BRL;;;
AMZG3;AMZG;;CASH;EQUITY-CASH;SHARES;;;;BRL;;;
ANGC11;ANGC;;CASH;EQUITY-CASH;FUNDS;;;;BRL;;;
APTI3;APTI;;CASH;EQUITY-CASH;SHARES;;;;BRL;;;
APTI4;APTI;;CASH;EQUITY-CASH;SHARES;;;;BRL;;;
ARKB39;ARKB;;CASH;EQUITY-CASH;BDR;;;;BRL;;;
ARTE11;ARTE;;CASH;EQUITY-CASH;FUNDS;;;;BRL;;;
ATCR11;ATCR;;CASH;EQUITY-CASH;FUNDS;;;;BRL;;;
ATEA3;ATEA;;CASH;EQUITY-CASH;SHARES;;;;BRL;;;
ATWN11;ATWN;;CASH;EQUITY-CASH;FUNDS;;;;BRL;;;
AVUR11;AVUR;;CASH;EQUITY-CASH;FUNDS;;;;BRL;;;
AVUR15;AVUR;;CASH;EQUITY-CASH;FUNDS;;;;BRL;;;
AZPE11;AZPE;;CASH;EQUITY-CASH;FUNDS;;;;BRL;;;
B1BT34;B1BT;;CASH;EQUITY-CASH;BDR;;;;BRL;;;
BAGY39;BAGY;;CASH;EQUITY-CASH;BDR;;;;BRL;;;
BAIR39;BAIR;;CASH;EQUITY-CASH;BDR;;;;BRL;;;
BAOM39;BAOM;;CASH;EQUITY-CASH;BDR;;;;BRL;;;
BAUH3;BAUH;;CASH;EQUITY-CASH;SHARES;;;;BRL;;;
BBCN39;BBCN;;CASH;EQUITY-CASH;BDR;;;;BRL;;;
BBFI11;BBFI;;CASH;EQUITY-CASH;FUNDS;;;;BRL;;;
BBFP11;BBFP;;CASH;EQUITY-CASH;FUNDS;;;;BRL;;;
BBGR39;BBGR;;CASH;EQUITY-CASH;BDR;;;;BRL;;;
BBIL39;BBIL;;CASH;EQUITY-CASH;BDR;;;;BRL;;;
BBML3;BBML;;CASH;EQUITY-CASH;SHARES;;;;BRL;;;
BBMR39;BBMR;;CASH;EQUITY-CASH;BDR;;;;BRL;;;
BBUS39;BBUS;;CASH;EQUITY-CASH;BDR;;;;BRL;;;
BCEE3;BCEE;;CASH;EQUITY-CASH;SHARES;;;;BRL;;;
BCEE5;BCEE;;CASH;EQUITY-CASH;SHARES;;;;BRL;;;
BCPS3;BCPS;;CASH;EQUITY-CASH;SHARES;;;;BRL;;;
BCPS4;BCPS;;CASH;EQUITY-CASH;SHARES;;;;BRL;;;
BCRP39;BCRP;;CASH;EQUITY-CASH;BDR;;;;BRL;;;
BDAX39;BDAX;;CASH;EQUITY-CASH;BDR;;;;BRL;;;
BDRE39;BDRE;;CASH;EQUITY-CASH;BDR;;;;BRL;;;
BEAG39;BEAG;;CASH;EQUITY-CASH;BDR;;;;BRL;;;
BEFG34;BEFG;;CASH;EQUITY-CASH;BDR;;;;BRL;;;
BEGB4;BEGB;;CASH;EQUITY-CASH;SHARES;;;;BRL;;;
BEPU39;BEPU;;CASH;EQUITY-CASH;BDR;;;;BRL;;;
BERU39;BERU;;CASH;EQUITY-CASH;BDR;;;;BRL;;;
BETP3;BETP;;CASH;EQUITY-CASH;SHARES;;;;BRL;;;
BETW11;BETW;;CASH;EQUITY-CASH;FUNDS;;;;BRL;;;
BEUS39;BEUS;;CASH;EQUITY-CASH;BDR;;;;BRL;;;
BEUT39;BEUT;;CASH;EQUITY-CASH;BDR;;;;BRL;;;
BEWM39;BEWM;;CASH;EQUITY-CASH;BDR;;;;BRL;;;
BFCC15;BFCC;;CASH;EQUITY-CASH;FUNDS;;;;BRL;;;
BFDA39;BFDA;;CASH;EQUITY-CASH;BDR;;;;BRL;;;
BFDL39;BFDL;;CASH;EQUITY-CASH;BDR;;;;BRL;;;
BFFT3;BFFT;;CASH;EQUITY-CASH;SHARES;;;;BRL;;;
BFPI39;BFPI;;CASH;EQUITY-CASH;BDR;;;;BRL;;;
BFTC39;BFTC;;CASH;EQUITY-CASH;BDR;;;;BRL;;;
BFTG39;BFTG;;CASH;EQUITY-CASH;BDR;;;;BRL;;;
BFVD39;BFVD;;CASH;EQUITY-CASH;BDR;;;;BRL;;;
BFXH39;BFXH;;CASH;EQUITY-CASH;BDR;;;;BRL;;;
BGAR39;BGAR;;CASH;EQUITY-CASH;BDR;;;;BRL;;;
BGRE39;BGRE;;CASH;EQUITY-CASH;BDR;;;;BRL;;;
BGRI39;BGRI;;CASH;EQUITY-CASH;BDR;;;;BRL;;;
BGRJ11;BGRJ;;CASH;EQUITY-CASH;FUNDS;;;;BRL;;;
BGS111;BGS1;;CASH;EQUITY-CASH;FUNDS;;;;BRL;;;
BGS117;BGS1;;CASH;EQUITY-CASH;FUNDS;;;;BRL;;;
BGS118;BGS1;;CASH;EQUITY-CASH;FUNDS;;;;BRL;;;
BHEW39;BHEW;;CASH;EQUITY-CASH;BDR;;;;BRL;;;
BHEZ39;BHEZ;;CASH;EQUITY-CASH;BDR;;;;BRL;;;
BHYS39;BHYS;;CASH;EQUITY-CASH;BDR;;;;BRL;;;
BICE11;BICE;;CASH;EQUITY-CASH;FUNDS;;;;BRL;;;
BICV39;BICV;;CASH;EQUITY-CASH;BDR;;;;BRL;;;
BIDR39;BIDR;;CASH;EQUITY-CASH;BDR;;;;BRL;;;
BIFR39;BIFR;;CASH;EQUITY-CASH;BDR;;;;BRL;;;
BIGD11;BIGD;;CASH;EQUITY-CASH;FUNDS;;;;BRL;;;
BIGE39;BIGE;;CASH;EQUITY-CASH;BDR;;;;BRL;;;
BIGL39;BIGL;;CASH;EQUITY-CASH;BDR;;;;BRL;;;
BINR11;BINR;;CASH;EQUITY-CASH;FUNDS;;;;BRL;;;
BINR15;BINR;;CASH;EQUITY-CASH;FUNDS;;;;BRL;;;
BINR16;BINR;;CASH;EQUITY-CASH;FUNDS;;;;BRL;;;
BIPD11;BIPD;;CASH;EQUITY-CASH;FUNDS;;;;BRL;;;
BIPZ39;BIPZ;;CASH;EQUITY-CASH;BDR;;;;BRL;;;
BIWD39;BIWD;;CASH;EQUITY-CASH;BDR;;;;BRL;;;
BIYJ39;BIYJ;;CASH;EQUITY-CASH;BDR;;;;BRL;;;
BIYM39;BIYM;;CASH;EQUITY-CASH;BDR;;;;BRL;;;
